No.,Time,Source,Destination,Protocol,Length,Info,Len
277,2.409141,172.28.0.20,172.28.0.10,TCP,1514,[TCP Out-Of-Order] 55206  >  5000 [ACK] Seq=430162 Ack=1 Win=64512 Len=1448 TSval=1939600468 TSecr=3899497155,1448
278,2.409182,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=447538 Win=83968 Len=0 TSval=3899497205 TSecr=1939600468,0
279,2.409186,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=447538 Ack=1 Win=64512 Len=2896 TSval=1939600468 TSecr=3899497155",2896
280,2.409191,172.28.0.20,172.28.0.10,RSL,2962,ERROR REPORT ,0
281,2.409236,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=453330 Win=98304 Len=0 TSval=3899497205 TSecr=1939600468,0
282,2.459266,172.28.0.20,172.28.0.10,TCP,1514,[TCP Previous segment not captured] 55206  >  5000 [ACK] Seq=456226 Ack=1 Win=64512 Len=1448 TSval=1939600518 TSecr=3899497205,1448
283,2.459305,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 281#1] 5000  >  55206 [ACK] Seq=1 Ack=453330 Win=98304 Len=0 TSval=3899497255 TSecr=1939600468 SLE=456226 SRE=457674,0
284,2.459309,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=457674 Ack=1 Win=64512 Len=2896 TSval=1939600518 TSecr=3899497205",2896
285,2.459314,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 281#2] 5000  >  55206 [ACK] Seq=1 Ack=453330 Win=98304 Len=0 TSval=3899497256 TSecr=1939600468 SLE=456226 SRE=460570,0
286,2.459316,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=460570 Ack=1 Win=64512 Len=2896 TSval=1939600518 TSecr=3899497205",2896
287,2.45932,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 281#3] 5000  >  55206 [ACK] Seq=1 Ack=453330 Win=98304 Len=0 TSval=3899497256 TSecr=1939600468 SLE=456226 SRE=463466,0
288,2.509443,172.28.0.20,172.28.0.10,TCP,1514,[TCP Out-Of-Order] 55206  >  5000 [ACK] Seq=453330 Ack=1 Win=64512 Len=1448 TSval=1939600569 TSecr=3899497255,1448
289,2.509485,172.28.0.10,172.28.0.20,TCP,78,5000  >  55206 [ACK] Seq=1 Ack=454778 Win=97280 Len=0 TSval=3899497306 TSecr=1939600569 SLE=456226 SRE=463466,0
290,2.509488,172.28.0.20,172.28.0.10,TCP,1514,[TCP Out-Of-Order] 55206  >  5000 [ACK] Seq=454778 Ack=1 Win=64512 Len=1448 TSval=1939600569 TSecr=3899497256,1448
291,2.509497,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=463466 Win=89088 Len=0 TSval=3899497306 TSecr=1939600569,0
292,2.509499,172.28.0.20,172.28.0.10,RSL,2962,[Malformed Packet],0
293,2.509556,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=466362 Win=98304 Len=0 TSval=3899497306 TSecr=1939600569,0
294,2.559552,172.28.0.20,172.28.0.10,TCP,1514,55206  >  5000 [ACK] Seq=466362 Ack=1 Win=64512 Len=1448 TSval=1939600619 TSecr=3899497306,1448
295,2.559606,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=467810 Ack=1 Win=64512 Len=2896 TSval=1939600619 TSecr=3899497306",2896
296,2.559611,172.28.0.20,172.28.0.10,TCP,1514,55206  >  5000 [ACK] Seq=470706 Ack=1 Win=64512 Len=1448 TSval=1939600619 TSecr=3899497306,1448
297,2.559642,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=472154 Win=98304 Len=0 TSval=3899497356 TSecr=1939600619,0
298,2.609771,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=472154 Ack=1 Win=64512 Len=2896 TSval=1939600669 TSecr=3899497356",2896
299,2.609805,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=475050 Ack=1 Win=64512 Len=2896 TSval=1939600669 TSecr=3899497356",2896
300,2.609809,172.28.0.20,172.28.0.10,TCP,1514,55206  >  5000 [ACK] Seq=477946 Ack=1 Win=64512 Len=1448 TSval=1939600669 TSecr=3899497356,1448
301,2.609844,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=479394 Win=98304 Len=0 TSval=3899497406 TSecr=1939600669,0
302,2.659914,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=479394 Ack=1 Win=64512 Len=2896 TSval=1939600719 TSecr=3899497406",2896
303,2.659938,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=482290 Ack=1 Win=64512 Len=2896 TSval=1939600719 TSecr=3899497406",2896
304,2.659941,172.28.0.20,172.28.0.10,TCP,1514,55206  >  5000 [ACK] Seq=485186 Ack=1 Win=64512 Len=1448 TSval=1939600719 TSecr=3899497406,1448
305,2.659965,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=486634 Win=98304 Len=0 TSval=3899497456 TSecr=1939600719,0
306,2.710121,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=486634 Ack=1 Win=64512 Len=2896 TSval=1939600769 TSecr=3899497456",2896
307,2.710161,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=489530 Ack=1 Win=64512 Len=2896 TSval=1939600769 TSecr=3899497456",2896
308,2.710165,172.28.0.20,172.28.0.10,TCP,1514,55206  >  5000 [ACK] Seq=492426 Ack=1 Win=64512 Len=1448 TSval=1939600769 TSecr=3899497456,1448
309,2.710206,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=493874 Win=98304 Len=0 TSval=3899497506 TSecr=1939600769,0
310,2.76028,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=493874 Ack=1 Win=64512 Len=2896 TSval=1939600819 TSecr=3899497506",2896
311,2.760317,172.28.0.20,172.28.0.10,RSL,2962,ERROR REPORT ,0
