No.,Time,Source,Destination,Protocol,Length,Info,Len
71,0.701126,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 69#1] 5000  >  37376 [ACK] Seq=1 Ack=89882 Win=82944 Len=0 TSval=3899640230 TSecr=1939743443 SLE=91330 SRE=92778,0
72,0.701128,172.28.0.20,172.28.0.10,RSL,2962,[Malformed Packet],0
73,0.701134,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 69#2] 5000  >  37376 [ACK] Seq=1 Ack=89882 Win=82944 Len=0 TSval=3899640230 TSecr=1939743443 SLE=91330 SRE=95674,0
74,0.702161,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=95674 Ack=1 Win=64512 Len=2896 TSval=1939743444 TSecr=3899640131",2896
75,0.702186,172.28.0.10,172.28.0.20,TCP,78,[TCP Window Update] 5000  >  37376 [ACK] Seq=1 Ack=89882 Win=92160 Len=0 TSval=3899640231 TSecr=1939743443 SLE=91330 SRE=98570,0
76,0.702189,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=98570 Ack=1 Win=64512 Len=2896 TSval=1939743444 TSecr=3899640131",2896
77,0.703304,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 69#3] 5000  >  37376 [ACK] Seq=1 Ack=89882 Win=92160 Len=0 TSval=3899640232 TSecr=1939743443 SLE=91330 SRE=101466,0
78,0.801215,172.28.0.20,172.28.0.10,TCP,1514,37376  >  5000 [ACK] Seq=101466 Ack=1 Win=64512 Len=1448 TSval=1939743543 TSecr=3899640230,1448
79,0.801237,172.28.0.20,172.28.0.10,TCP,1514,[TCP Out-Of-Order] 37376  >  5000 [ACK] Seq=89882 Ack=1 Win=64512 Len=1448 TSval=1939743543 TSecr=3899640230,1448
80,0.801257,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=102914 Win=88064 Len=0 TSval=3899640330 TSecr=1939743543,0
81,0.80225,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=102914 Ack=1 Win=64512 Len=2896 TSval=1939743544 TSecr=3899640231",2896
82,0.802271,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=105810 Win=96256 Len=0 TSval=3899640331 TSecr=1939743544,0
83,0.803349,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=105810 Ack=1 Win=64512 Len=2896 TSval=1939743545 TSecr=3899640232",2896
84,0.803362,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=108706 Win=96256 Len=0 TSval=3899640332 TSecr=1939743545,0
85,0.901328,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=108706 Ack=1 Win=64512 Len=2896 TSval=1939743643 TSecr=3899640330",2896
86,0.901365,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=111602 Win=96256 Len=0 TSval=3899640430 TSecr=1939743643,0
87,0.902296,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=111602 Ack=1 Win=64512 Len=2896 TSval=1939743644 TSecr=3899640331",2896
88,0.902308,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=114498 Win=96256 Len=0 TSval=3899640431 TSecr=1939743644,0
89,0.903394,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=114498 Ack=1 Win=64512 Len=2896 TSval=1939743645 TSecr=3899640332",2896
90,0.903401,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=117394 Win=96256 Len=0 TSval=3899640432 TSecr=1939743645,0
91,0.903403,172.28.0.20,172.28.0.10,TCP,1514,37376  >  5000 [ACK] Seq=117394 Ack=1 Win=64512 Len=1448 TSval=1939743645 TSecr=3899640332,1448
