"No.","Time","Source","Destination","Protocol","Length","Info"
"33","0.300590","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=36306 Win=75776 Len=0 TSval=3899639830 TSecr=1939743043"
"34","0.300592","172.28.0.20","172.28.0.10","TCP","1514","37376  >  5000 [ACK] Seq=36306 Ack=1 Win=64512 Len=1448 TSval=1939743043 TSecr=3899639730"
"35","0.300596","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=37754 Win=74752 Len=0 TSval=3899639830 TSecr=1939743043"
"36","0.400658","172.28.0.20","172.28.0.10","RSL","2962","DELETE INDication (CCCH) (SM) "
"37","0.400697","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=40650 Win=96256 Len=0 TSval=3899639930 TSecr=1939743143"
"38","0.400701","172.28.0.20","172.28.0.10","TCP","1514","37376  >  5000 [ACK] Seq=40650 Ack=1 Win=64512 Len=1448 TSval=1939743143 TSecr=3899639830"
"39","0.400706","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=42098 Win=95232 Len=0 TSval=3899639930 TSecr=1939743143"
"40","0.400708","172.28.0.20","172.28.0.10","RSL","1514","unknown 12 "
"41","0.400711","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=43546 Win=94208 Len=0 TSval=3899639930 TSecr=1939743143"
"42","0.400756","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=43546 Ack=1 Win=64512 Len=2896 TSval=1939743143 TSecr=3899639830"
"43","0.400761","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=46442 Win=92160 Len=0 TSval=3899639930 TSecr=1939743143"
"44","0.400763","172.28.0.20","172.28.0.10","RSL","2962","[Malformed Packet]"
"45","0.400767","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=49338 Win=90112 Len=0 TSval=3899639930 TSecr=1939743143"
"46","0.400769","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=49338 Ack=1 Win=64512 Len=2896 TSval=1939743143 TSecr=3899639830"
"47","0.400772","172.28.0.20","172.28.0.10","TCP","1514","37376  >  5000 [ACK] Seq=52234 Ack=1 Win=64512 Len=1448 TSval=1939743143 TSecr=3899639830"
