cenario, modo, vazao_min_mbps      , vazao_media_mbps    , vazao_max_mbps      , desvio_padrao_mbps   , amostras
A      , rudp,  3.0413787652293705 ,  3.0461686515330415 ,  3.051563079373071  , 0.003455475081464545 ,       10
A      , tcp , 36.570620752145764  , 43.80317869648037   , 49.93590624083143   , 3.4420305564121314   ,       10
B      , rudp,  0.19091063155315263,  0.2528010531587331 ,  0.3429869160719548 , 0.04521082836406016  ,       10
B      , tcp ,  0.8256764247219432 ,  3.26676385763704   ,  8.135813324688508  , 2.267420859667593    ,       10
C      , rudp,  0.06518452754205346,  0.07246990155046357,  0.08390007965158967, 0.0067045528005646145,       10
C      , tcp ,  0.37978409658157947,  0.6760507160722804 ,  1.9459832579956957 , 0.4626120584381173   ,       10
